(5041,0.14525045871734618)
(10000,0.2564208507537842)
(14884,0.35685999870300295)
(19881,0.4849721908569336)
(24964,0.6097563123703003)
(29929,0.724184136390686)
(34969,0.8493309354782105)
(40000,0.9599618482589721)
(44944,1.1228363466262818)
(50176,1.2135372638702393)
(55225,1.3501316213607788)
(60025,1.4967210054397584)
(65025,1.5984876680374145)
(70225,1.7181006526947022)
(75076,1.815080819129944)
(80089,1.9449772357940673)
(85264,2.1116767597198485)
(90000,2.187157564163208)
(94864,2.3291185760498045)
(99856,2.412428045272827)
(104976,2.5612355136871336)
