(4993,0.1442430019378662)
(10001,0.29630725383758544)
(14993,0.386491060256958)
(20001,0.5660921096801758)
(24993,0.7378288984298706)
(30001,0.9426717042922974)
(34993,1.0917359256744386)
(40001,1.2200364112854003)
(44993,1.4058007955551148)
(50001,1.5721543550491333)
(54993,1.6975979614257812)
(60001,1.855669813156128)
(64993,2.006713547706604)
(70001,2.1932915592193604)
(74993,2.3365928220748903)
(80001,2.542345643043518)
(84993,2.7618202543258666)
(90001,2.9417548179626465)
(94993,3.0984413862228393)
(100001,3.2719891548156737)
(104993,3.4586481714248656)
